Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,264,27,6,6,2,
Dd2,Positive,275,21,3,2,1,
Dd2,Positive,289,22,10,2,,
Dd2,Very Young,294,13,5,2,,
Dd2,Very Young,310,17,8,1,,
Dd2,Very Young,256,18,8,3,1,
Dd2,Young,257,21,8,2,,
Dd2,Young,251,16,11,1,,
Dd2,Young,276,17,6,2,1,
Dd2,Medium,253,9,4,1,,
Dd2,Medium,277,10,3,0,1,
Dd2,Medium,277,6,1,,,
Dd2,Old,321,8,3,,,
Dd2,Old,273,9,2,,,
Dd2,Old,274,9,,,,
HB3,Positive,254,14,4,1,,
HB3,Positive,261,11,3,2,,
HB3,Positive,285,10,4,1,1,
HB3,Very Young,261,8,7,2,,
HB3,Very Young,256,12,3,1,,
HB3,Very Young,254,16,7,4,,
HB3,Young,263,17,12,2,1,
HB3,Young,251,9,12,2,1,
HB3,Young,262,16,5,2,0,1
HB3,Medium,266,8,1,,,
HB3,Medium,258,7,1,1,,
HB3,Medium,256,6,5,,,
HB3,Old,308,8,1,,,
HB3,Old,277,5,4,1,,
HB3,Old,253,4,,,,
3D7,Positive,256,18,6,6,1,
3D7,Positive,253,13,5,2,,
3D7,Positive,277,6,5,4,,
3D7,Very Young,315,12,7,4,1,
3D7,Very Young,255,20,10,0,1,
3D7,Very Young,268,21,9,3,1,
3D7,Young,263,19,10,2,2,
3D7,Young,267,12,7,4,1,
3D7,Young,270,18,8,2,,
3D7,Medium,262,4,,,,
3D7,Medium,266,6,2,0,1,
3D7,Medium,330,6,2,,,
3D7,Old,263,5,1,1,,
3D7,Old,274,9,1,1,,
3D7,Old,265,3,,,,
FCR3,Positive,272,25,7,2,,
FCR3,Positive,274,20,10,,,
FCR3,Positive,267,27,10,2,,
FCR3,Very Young,266,27,7,0,1,
FCR3,Very Young,255,29,3,2,,
FCR3,Very Young,271,26,7,1,,
FCR3,Young,258,41,12,1,,
FCR3,Young,256,37,7,,,
FCR3,Young,251,23,5,2,,
FCR3,Medium,366,10,2,4,,
FCR3,Medium,303,12,3,,,
FCR3,Medium,284,15,1,,,
FCR3,Old,272,4,2,2,,
FCR3,Old,257,12,,,,
FCR3,Old,276,8,2,,,